   0.95621E+02    0.69708E+02    0.32188E+02    0.88933E+01
   0.95877E+02    0.72216E+02    0.32188E+02    0.88933E+01
   0.95457E+02    0.77615E+02    0.30688E+02    0.82933E+01
   0.94077E+02    0.82199E+02    0.30688E+02    0.82933E+01
   0.92562E+02    0.83902E+02    0.31227E+02    0.83163E+01
   0.91544E+02    0.82717E+02    0.31227E+02    0.83163E+01
   0.91499E+02    0.80427E+02    0.31468E+02    0.80967E+01
   0.91615E+02    0.78765E+02    0.31468E+02    0.80967E+01
   0.91814E+02    0.78210E+02    0.31609E+02    0.78568E+01
   0.91772E+02    0.78425E+02    0.31609E+02    0.78568E+01
   0.91718E+02    0.78850E+02    0.31853E+02    0.78189E+01
   0.91556E+02    0.79119E+02    0.31853E+02    0.78189E+01
   0.91481E+02    0.79113E+02    0.32158E+02    0.78173E+01
   0.91444E+02    0.78916E+02    0.32158E+02    0.78173E+01
   0.91490E+02    0.78655E+02    0.32364E+02    0.77981E+01
   0.91565E+02    0.78441E+02    0.32364E+02    0.77981E+01
   0.91625E+02    0.78298E+02    0.32473E+02    0.77941E+01
   0.91690E+02    0.78207E+02    0.32473E+02    0.77941E+01
   0.91737E+02    0.78126E+02    0.32522E+02    0.78177E+01
   0.91793E+02    0.78039E+02    0.32522E+02    0.78177E+01
   0.91850E+02    0.77932E+02    0.32510E+02    0.78568E+01
   0.91929E+02    0.77808E+02    0.32510E+02    0.78568E+01
   0.92021E+02    0.77692E+02    0.32431E+02    0.79095E+01
   0.92128E+02    0.77596E+02    0.32431E+02    0.79095E+01
   0.92244E+02    0.77522E+02    0.32288E+02    0.79798E+01
   0.92370E+02    0.77461E+02    0.32288E+02    0.79798E+01
   0.92507E+02    0.77412E+02    0.32090E+02    0.80688E+01
   0.92652E+02    0.77370E+02    0.32090E+02    0.80688E+01
   0.92809E+02    0.77341E+02    0.31841E+02    0.81737E+01
   0.92970E+02    0.77318E+02    0.31841E+02    0.81737E+01
   0.93142E+02    0.77311E+02    0.31548E+02    0.82917E+01
   0.93315E+02    0.77311E+02    0.31548E+02    0.82917E+01
   0.93496E+02    0.77326E+02    0.31221E+02    0.84200E+01
